id;Beheizt;Addresse;Ortsteil;Ort;PLZ;Gebäudetyp;Tabula-Klasse;Baualtersklasse;Primärenergieträger;Spezifischer Wärmebedarf (kWh/m²a);Wärmebedarf (kWh/Jahr);Raumwärmebedarf (kWh/Jahr);Strombedarf (kWh/Jahr);CO₂ Emission Wärme (t/Jahr);Heizungsanlagenalter (Jahr);Heizleistung (kW);Holzverbrauch (kWh/Jahr);Holzpellets (kWh/Jahr);Holzhackschnitzel (kWh/Jahr);Gasverbrauch (kWh/Jahr);Ölverbrauch (kWh/Jahr);Bezug von Wärmenetz (kWh/Jahr);Strombedarf Heizen (kWh/Jahr);Solarthermie Potenzial (kWh/Jahr);Geothermiepotenzial (kWh/Jahr);Primäres Heizsystem;Sanierungspotenzial Klasse;Wärmebedarfsreduktion;Endenergiebedarf (kWh/Jahr);Vorlauftemperatur für Raumheizung;Anzahl der möglichen Bohrlöcher;Abwärmepotenzial (kWh/Jahr);Temperaturbereich (Abwärme) (°C);PV-Potenzial (kWh/Jahr);Eigentum nach Verwaltungsebene;Landnutzung;Wirtschaftszweig;Bewohner;Anzahl der Wohnungen;Anzahl der Wohnungen Kategorie;Subtyp Wohnen;Industriename;Wärmebedarfstyp (ohne Prozesswärme);Elektroheizungstyp;Holzofen vorhanden;Kältebedarf (kWh/Jahr);BHKW vorhanden;Leistung BHKW (kW);Ist Abwärmequelle;Datenquelle Abwärme;Aufwand zur Bereitstellung von Abwärme;Anschluss an Wärmenetz;Interesse an Wärmenetz;Aufwand zum Anschluss an Wärmenetz;Ist Wärmequelle;Ist direkter möglicher Wärmenetz-Anschlussnehmer;Ökonomischer Sektor;Warmwasserbedarf (kWh/Jahr);Prozesswärmebedarf (kWh/Jahr);Heizlast (kW);GEG-Effizienzklasse;Datenquelle
243687609;True;Hebelstraße 40a;Elgersweier;Offenburg;77656;Wohngebäude;Mehrfamilienhaus (1958 - 1968);1949 - 1978;Erdgasnetz;126;63510,648631833814;51380,11474315356;11115,0;16,729634273751348;;;;;;77452,0105266266;;;;19970,0;23177,93100547031;Gaskessel;Mittel;40610,4801891025;77452,0105266266;65,0;2;;;21967,0;;;Wohngebäude;9;7;2-8;Mehrfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;12130,533888680258;0,0;35,283693684352116;E;greenventory
243687615;True;Hebelstraße 42;Elgersweier;Offenburg;77656;Mehrfachnutzung;;1949 - 1978;Erdgasnetz;145;60870,66582352486;49244,36865123161;0,0;16,03422416814801;;;;;;74232,51929698154;;;;23356,0;12008,300374115774;Gaskessel;Mittel;22522,1463547042;74232,51929698154;60,0;1;;;25692,0;;;Wohn- und Bürogebäude;;;Unbekannt;;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;GHD, Verkehr & Sonstige;11626,297172293249;0,0;33,81703656862492;;greenventory
243687616;True;Am Kapellele 17;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (1958 - 1968);1949 - 1978;Heizöl;160;31329,95786593813;25345,935913543948;4940,0;10,164830774282148;;;;;;;34811,06429548681;;;10868,0;0,0;Ölkessel;Mittel;14293,596881166923;34811,06429548681;80,0;0;;;11954,0;;;Wohngebäude;4;2;1-2;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;5984,021952394183;0,0;17,405532147743404;F;greenventory
243687617;True;Hebelstraße 40;Elgersweier;Offenburg;77656;Wohngebäude;Mehrfamilienhaus (1958 - 1968);1949 - 1978;Heizöl;126;52762,312316791526;42684,71066428435;9880,0;17,118439107225694;;;;;;;58624,79146310169;;;16591,0;44746,39644948815;Ölkessel;Mittel;33737,69415414696;58624,79146310169;65,0;4;;;18250,0;;;Wohngebäude;8;6;2-8;Mehrfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;10077,601652507181;0,0;29,312395731550847;E;greenventory
243687618;True;Hebelstraße 33;Elgersweier;Offenburg;77656;Wohngebäude;Mehrfamilienhaus (1949 - 1957);1949 - 1978;Heizöl;134;35392,03121974328;28632,153256772315;6175,0;11,482747906850042;;;;;;;39324,47913304809;;;14740,0;0,0;Ölkessel;Mittel;20751,927398564236;39324,47913304809;65,0;0;;;16214,0;;;Wohngebäude;5;4;2-8;Mehrfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;6759,877962970966;0,0;19,662239566524043;E;greenventory
243687619;True;Hebelstraße 38;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (1958 - 1968);1949 - 1978;Holzpellets;160;32913,6247434763;26627,12241747233;4940,0;0,6969944063324393;;;;38721,9114629133;;;;;;11417,0;12445,700232212926;Pelletheizung;Mittel;15016,109692657072;38721,9114629133;80,0;1;;;12559,0;;;Wohngebäude;4;2;1-2;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;6286,502326003973;0,0;18,285347079709055;F;greenventory
243687624;True;;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (1995 - 2001);2001 - 2010;Heizöl;99;5918,442136235413;4788,01968821445;2050,0;1,9202056708674897;;;;;;;6576,046818039348;;;5233,0;104288,12199144387;Ölkessel;Mittel;2171,165358601528;6576,046818039348;50,0;10;;;5756,0;;;Wohngebäude;1;1;0-1;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;False;Privates Wohnen;1130,4224480209639;0,0;3,288023409019674;D;greenventory
243687625;True;Felix-Kempf-Straße 14;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (1969 - 1978);1949 - 1978;Stromnetz;144;28722,656481899754;23236,629093856904;4940,0;2,4089969952561083;;;;;;;;;9265,37305867734;18435,0;12902,358137666331;Elektrische Luftwärmepumpe;Mittel;14595,541534488751;9265,37305867734;80,0;1;;;20279,0;;;Wohngebäude;4;2;1-2;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;Wärmepumpe;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;5486,027388042853;0,0;15,957031378833197;A;greenventory
243687626;True;Hebelstraße 28;Elgersweier;Offenburg;77656;Wohngebäude;Mehrfamilienhaus (2002 - 2009);2001 - 2010;Heizöl;72;29702,11608622954;24029,0119137597;9880,0;9,63668655242114;;;;;;;33002,35120692171;;;21433,0;100679,39201134833;Ölkessel;Mittel;14580,776625877263;33002,35120692171;55,0;9;;;23576,0;;;Wohngebäude;8;6;2-8;Mehrfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;5673,1041724698425;0,0;16,501175603460855;C;greenventory
243687627;True;Felix-Kempf-Straße 15;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (1979 - 1983);1979 - 1990;Erdgasnetz;142;18916,802014804525;15303,692829976862;3440,0;4,98296248194851;;;;;;23069,270749761617;;;;12014,0;12902,358137666331;Gaskessel;Mittel;11623,017922619758;23069,270749761617;80,0;1;;;13216,0;;;Wohngebäude;2;1;0-1;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;3613,109184827664;0,0;10,509334452669181;F;greenventory
